"Status";"File";"TitlePrimary";"AuthorsPrimary";"PeriodicalFull";"PubYear";"Volume";"Issue";"StartPage";"OtherPages";"Comment"
"Sin";"Wagner2009";"Observations on foodplants of caterpillars of Pyrgus onopordi (Rambur 1839) in Andalusien (Lepidoptera: Hesperiidae).";"Wagner,Wolfgang";"Nachrichten des Entomologischen Vereins Apollo";2009;"30";"01-feb";1,00;"4";
"NA";"Defaut2011";"[Preliminary revision of Chorthippus of the binotatus group (Charpentier, 1825) (Caelifera, Acrididae, Gomphocerinae).]";"Defaut,Bernard";"Materiaux Orthopteriques et Entomocenotiques";2011;"16";" ";17,00;"54";"En francés; Pdf no disponible en la website de journal"
"Facil acceso";"Quesada-Rubio2011";"Impact of Environmental and Human Factors on Rural Fire Occurrence";"Quesada-Rubio,Jose-Manuel;Huete-Morales,Maria-Dolores;Del-Moral-Avila,Maria-Jose;Navarrete-Alvarez,Esteban;Rosales-Moreno,Maria-Jesus";"Environmental Engineering and Management Journal";2011;"10";"12";1857,00;"1863";"Correo"
"NA";"Marki2012";"The Citril Finch Serinus citrinella, a regular breeding bird in the Sierra Nevada (Andalusia, Spain).";"Marki,Hans;Bibier,Olivier;Perez-Contreras,Juan";"Nos Oiseaux";2012;"59";"1";39,00;"45";"Correo"
"NA";"Biber2014";"Peperite development in a Miocene-age carbonate succession, Cabo de Gata volcanic area (Agua Amarga/Carboneras basins), SE Spain - The Breche Rouge revisited";"Biber,Jani Leyla;McCann,Tom";"Zeitschrift Der Deutschen Gesellschaft Fur Geowissenschaften";2014;"165";"2";229,00;"245";"Sin acceso al pdf en el journal"
"Facil acceso";"FernandezPrieto2015";"Are they different species or vicariant elevational races of the same species? The case of an Iberian endemic plant, Ranunculus bupleuroides (Ranunculaceae)";"Fernandez Prieto,Jose Antonio;Molero Mesa,Joaquin;Perez Suarez,Marta;Sanna,Mauro;Munoz Diaz,Jose Miguel;Cires,Eduardo";"Phytotaxa";2015;"239";"3";242,00;"252";"Correo"
"NA";"Valero2015";"Description and DNA barcoding of a new Iberian species of Pijnackeria (Scali, 2009) from Sierra Nevada, Spain (Phasmida: Diapheromeridae)";"Valero,Pablo;Ortiz,Antonio S.";"Zootaxa";2015;"4058";"4";535,00;"550";"No access to Zootaxa pdfs"
"Sin";"Betti1970";"Description d'une nouvelle sous-espi ce de Lysandra hispana H. S. d'Espagne (Lep. Lycaenidae).";"Betti,G.";"Bull.Soc.ent.Mulhouse";1970;"1970";" ";31,00;"32";
"NA";"LYNEBORG1970";"Some Muscidae from Southern Spain with Descriptions of 6 New Species Insecta Diptera";"Lyneborg,L.";"Steenstrupia";1970;"1";"6";29,00;"54";"Pdf no disponible en la web de la Universidad (link)"
"Sin";"Serra-Tosio1970";"Deux Diamesini nouveaux d'Espagne (Diptera, Chironomidae).";"Serra-Tosio,B.";"Trav Lab Piscic Univ Grenoble";1970;"62";" ";147,00;"167";
"Sin";"PRIETO1971";"Asco Lichens of the Cliffs of San-Francisco Sierra-Nevada Granada Part 1";"Prieto,P.;Espinosa,P.";"Cuadernos de Ciencias Biologicas Universidad de Granada";1971;"1";" ";95,00;"98";"Correo"
"NA";"FERNANDEZ-RUBIO1972";"Rhopalocera and Zygaena-Spp of the Sierra-Nevada Spain";"Fernandez-Rubio F;Gomez-Bustillo M R";"Alexanor";1972;"7";"8";339,00;"345";"Journal no encontrado, articulo en scholar tampoco"
"NA";"CHUECA1973/74";"Plant Species and Communities of the Calcareous Region of the Sierra-Nevada Plants from Dornajo and Treveneque";"Chueca,F. E.";"Boletim da Sociedade Broteriana";1973;"47";"SUPPL";179,00;"224";"Not available"
