"key"	"Authors..Primary"	"Title.Primary"	"Pub.Year"	"Periodical.Full"	"Periodical.Abbrev"	"Keywords"
60	"Alba Tercedor,J."	"Larvas de plecopteros de las estribaciones de Sierra Nevada (Granada). Factores que intervienen en su distribucion."	1979	"Boletin de la Asociacion Espanola de Entomologia"	"Bol.Asoc.Esp.Entomol."	"Environmental Sciences & Ecology;Zoology;Marine & Freshwater Biology;Plecoptera [Community structure / / Larval distribution;altitude & river characteristic relationships] [Distribution in relation to physical environment / / Larval community structure] [River / / Physical characteristics;altitude & larval community structure] [Altitude / / River physical characteristics;larval community structure relations] [Spain / / Sierra Nevada;River physical characteristics & altitude relations]."
61	"Barahona Fernandez,E.;Linares,J."	"The Soils of the Barranco-Hondo Sierra-Nevada Spain 1. Typology and Soil Forming Factors"	1979	"Anales de Edafologia y Agrobiologia"	" "	"Agriculture"
62	"Ebmer,A. W."	"Erganzungen zur Bienenfauna Iberiens. Die Gattungen Halictus, Lasioglossum und Dufourea (Apoidea, Hymenoptera)."	1979	"Linzer Biologische Beitraege"	" "	"Zoology;Dufourea;Halictus;Lasioglossum [Europe / / Iberian Peninsula;Systematic accounts;first records]. Dufourea (Halictoides) paradoxa mesembria [Spain / / Pont de la Bonaigua;New subspecies]. Halictus (Seladonia) confusus glacialis [Spain / / Sierra de Guadarrama;New subspecies]. Lasioglossum (Lasioglossum) zonulum elysium [Spain / / Sierra Nevada;New subspecies]."
63	"Huertas,F.;Linares,J."	"The Soils of the Barranco-Hondo Spain 2. Geochemical Study"	1979	"Anales de Edafologia y Agrobiologia"	" "	"Agriculture"
64	"Tinaut Ranera,J. A."	"Estudio de la mirmecofauna de los Borreguiles de S. Juan (Sierra Nevada, Granada) (Hym. Formicidae)."	1979	"Boletin de la Asociacion Espanola de Entomologia"	"Bol.Asoc.Esp.Entomol."	"Environmental Sciences & Ecology;Zoology;Formicidae [Distribution within habitat / / Biotope preferences;mountain] [Habitat preference / / Mountain biotopes;relative distribution] [Mountain habitat / / Biotope preferences & relative distribution] [Spain / / Sierra Nevada;Mountain habitat biotope preferences & relative distribution]."
65	"Wagner,R."	"Zwei neue Psychodiden (Diptera: Psychodidae) aus Sudeuropa."	1979	"Entomologische Zeitschrift"	"Entomol.Z."	"Zoology;Saraiella andalusica [Spain / / Sierra Nevada;New species]. Saraiella magna [Greece / / Gorgopotamus-Oiti Mountains;New species]."
66	"Werner,R. G."	"The Lichen Flora of the Betic-Rifa Cordillera Spain Phyto Geographic and Ecologic Study"	1979	"Collectanea Botanica (Barcelona)"	" "	"Life Sciences & Biomedicine - Other Topics;Environmental Sciences & Ecology;Anatomy & Morphology"
67	"Calle,J."	"Noctuidae recolectados en Sierra Nevada (Granada). (Contribucion a los Noctuidae espanoles no. 26)."	1980	"SHILAP Revista de Lepidopterologia"	" "	"Zoology;Noctuidae [Spain / / Granada;Sierra Nevada;Species list]."
68	"Lacourt,J."	"Notes on the Atra Group of the Genus Tenthredo Hymenoptera Tenthridinidae with a Description of 2 New Taxa"	1980	"Nouvelle Revue d'Entomologie"	"Nouv.Rev.Entomol."	"Life Sciences & Biomedicine - Other Topics;Anatomy & Morphology"
69	"Martinez,R."	"Seasonal Variation of Phyto Plankton Biomass and Photosynthesis in the High Mountain Lake La-Caldera Sierra-Nevada Spain"	1980	"Dokulil, M., H.Metz and D.Jewson (Ed.).Developments in Hydrobiology, Vol.3.Shallow Lakes: Contributions to their Limnology; Meeting, Illmitz, Austria, Sept.23-30, 1979.Xii+212p.W.Junk Bv Publishers: the Hague, Netherlands; Boston, Mass, Usa.Illus"	" "	"Biochemistry & Molecular Biology;Developmental Biology;Environmental Sciences & Ecology"
70	"Martinez,R."	"Seasonal variation of phytoplankton biomass and photosynthesis in the high-mountain Lake La Caldera (Sierra, Nevada, Spain)."	1980	"Developments in Hydrobiology"	"Dev.Hydrobiol."	"Environmental Sciences & Ecology;Zoology;Marine & Freshwater Biology;Phytomastigophorea [Biomass / / Variation] [Seasonal abundance / / Biomass variation] [Lake / / Seasonal biomass variation] [Spain / / Sierra Nevada;Lake La Caldera]."
71	"Ruiz Bustos,A.;Padial,J."	"Datos sobre Microtus nivalis (Martens, 1842) actual y fosil en Granada (Andalucia)."	1980	"Cuadernos De Ciencias Biologicas Universidad De Granada"	" "	"Anatomy & Morphology;Zoology;Paleontology;Microtus nivalis [Relative measurements / / Fossil compared with living specimen] [General morphology / / Fossil & extant morphology;comparative study] [Teeth / / Molars] [Spain / / Sierra Nevada] [Quaternary / / fossil morphology compared with living specimen]."
72	"SEITZ,W."	"Chemosystematology Today - Survey Represented by some Examples of the Angiosperms Families Ranunculaceae, Onagraceae and Valerianaceae as Well as from the Group of Lichens"	1980	"Berichte Der Deutschen Botanischen Gesellschaft"	" "	"Plant Sciences ER"
73	"CAMACHO,JPM;DELAGUARDIA,RD;REJON,MR"	"Polysomy and Supernumerary Isochromosomes in the Grasshopper Omocestus-Bolivari (Chopard)"	1981	"Heredity"	"Heredity"	"Environmental Sciences & Ecology;Evolutionary Biology;Genetics & Heredity ER"
74	"Gil,J. A.;Varo,J."	"Bryo Sociologic Study of Rheophilic Communities of the Sierra-Nevada Spain"	1981	"Cryptogamie Bryologie Lichenologie"	" "	"Life Sciences & Biomedicine - Other Topics;Environmental Sciences & Ecology"
75	"Leraut,P."	"Study of Scopariineae Lepidoptera Pyralidae 2 New Taxa from the Mediterranean Region"	1981	"Alexanor"	"Alexanor"	"Anatomy & Morphology;Life Sciences & Biomedicine - Other Topics"
76	"Parraga,J.;Aguilar,J."	"Edaphological Study of the Dehesa of Camarate Sierra-Nevada Granada Spain 1. Macro and Micro Morphological Characteristics"	1981	"Anales de Edafologia y Agrobiologia"	" "	"Meteorology & Atmospheric Sciences;Agriculture"
77	"Pascual,F."	"Description of a Male Eumigus-Rubioi Orthoptera Pamphagidae"	1981	"EOS-Revista Espanola de Entomologia"	" "	"Anatomy & Morphology;Life Sciences & Biomedicine - Other Topics"
78	"Tinaut Ranera,J. A."	"Rossomyrmex minuchae nov. sp. (Hym. Formicidae) encontrada en Sierra Nevada, Espana."	1981	"Boletin de la Asociacion Espanola de Entomologia"	"Bol.Asoc.Esp.Entomol."	"Zoology;Rossomyrmex minuchae [Spain / / New species]."
79	"Alba-Tercedor J;Sanchez-Ortega a"	"Presence of the Genus Torleya Insecta Ephemeroptera Ephemerellidae on the Iberian Peninsula"	1982	"Boletin de la Real Sociedad Espanola de Historia Natural Seccion Biologica"	" "	"Life Sciences & Biomedicine - Other Topics;Developmental Biology;Anatomy & Morphology"
80	"Egea,J. M.;Llimona,X.;Casares,M."	"Silicicolous Lichen Flora of the Highest Part of the Sierra-Nevada Spain"	1982	"Collectanea Botanica (Barcelona)"	" "	"Life Sciences & Biomedicine - Other Topics"
81	"MARTINRAMOS,JD;RODRIGUEZGALLEGO,M."	"Chromian Mica from Sierra-Nevada, Spain"	1982	"Mineralogical Magazine"	" "	"Mineralogy ER"
82	"Pace,R."	"Some Therian and Maghrebian Species of Atheta of the Subgenus Microdota Coleoptera Staphylinidae 36th Contribution to the Aleocharinae"	1982	"Giornale Italiano di Entomologia"	"G.Ital.Entomol."	"Life Sciences & Biomedicine - Other Topics;Anatomy & Morphology"
83	"Tercedor,J. A."	"Ephemerella-Ikonomovi-Nevadensis New-Subspecies of Sierra-Nevada Spain Ephemeroptera Ephemerellidae"	1982	"Boletin de la Asociacion Espanola de Entomologia"	"Bol.Asoc.Esp.Entomol."	"Developmental Biology;Anatomy & Morphology;Life Sciences & Biomedicine - Other Topics"
84	"Triberti,P."	"Notes on Parornix szoecsi Gozmany (Gracillariidae) and allied species, with description of P. incerta, n. sp."	1982	"Nota Lepidopterologica"	"Nota Lepidopterol."	"Zoology;Parornix incerta [Spain / / Granada;Sierra Nevada;Veleta;New species]."
85	"Van Den Berg,A. J. J."	"The White Flowered European Sedum Species 2. Cyto Taxonomic Notes on Sedum-Album and Sedum-Gypsicolum"	1982	"Proceedings of the Koninklijke Nederlandse Akademie van Wetenschappen Series C Biological and Medical Sciences"	" "	"Biochemistry & Molecular Biology;Cell Biology;Genetics & Heredity;Anatomy & Morphology;Life Sciences & Biomedicine - Other Topics"
86	"Alba Tercedor,J."	"Baetis maurus Kimmins, 1938 (Ephemeroptera: Baetidae) en la Peninsula Iberica. Aportacion al conocimiento morfologico de la ninfas."	1983	"Boletin de la Asociacion Espanola de Entomologia"	"Bol.Asoc.Esp.Entomol."	"Zoology;Baetis maurus [Spain / / Granada;Sierra Nevada;First confirmed record for Iberian Peninsula & systematics]."
87	"Alba Tercedor,J."	"Ephemerella (Chitonophora) ikonomovi nevadensis n. ssp. de Sierra Nevada, Espana (Ephemeroptera, Ephemerellidae)."	1983	"Boletin de la Asociacion Espanola de Entomologia"	"Bol.Asoc.Esp.Entomol."	"Zoology;Ephemerella (Chitonophora) ikonomovi nevadensis [Spain / / Sierra Nevada;New subspecies]."
88	"Gamisans,J.;Romero,A. T.;Morales,C."	"The Corsican Nevadan Spain France Phleum 2 Little Known Taxa"	1983	"Candollea"	"Candollea"	"Anatomy & Morphology;Life Sciences & Biomedicine - Other Topics"
89	"Gusenleitner,J."	"Interessante Faltenwespen aus dem Hochgebirge Spaniens (Hymenoptera, Vespoidea)."	1983	"Entomofauna"	"Entomofauna"	"Zoology;Vespoidea [Spain / / Sierra Nevada;New species & additional records]."
90	"PACE,R."	"Species Belonging to the Genus Geostiba Thomson Collected by Besuchet,c. and Collaborators in Morocco, Iberian and Balkan Peninsula and in Middle-East (Coleoptera, Staphylinidae)"	1983	"Revue Suisse De Zoologie"	" "	"Zoology ER"
