"Journal";"ISSN";"Abbreviated.Journal.Title";"X.2014..Total.Cites";"Impact.Factor";"X5.Year.Impact.Factor";"Immediacy.Index";"X.2014..Articles";"Cited.Half.Life";"Eigenfactor.Score";"Article.Influence.Score";"categoria"
"Medicina clinica";"0025-7753";"MED CLIN-BARCELONA";2473;1.417;1.192;0.554;121;"8.1";0.00257;0.227;"MEDICINE, GENERAL & INTERNAL"
"MINERALOGICAL MAGAZINE";"0026-461X";"MINERAL MAG";3457;2.026;1.949;0.55;80;">10.0";0.00551;0.811;"MINERALOGY"
"MYCOLOGIA";"0027-5514";"MYCOLOGIA";6163;2.471;2.533;0.48;102;">10.0";0.00767;0.789;"MYCOLOGY"
"Nachrichtenblatt der Bayerischen Entomologen";"0027-7452";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NATURE";"0028-0836";"NATURE";617363;41.456;41.296;9.585;862;">10.0";1.49869;21.96;"MULTIDISCIPLINARY SCIENCES"
"NATURWISSENSCHAFTEN";"0028-1042";"NATURWISSENSCHAFTEN";6500;2.098;2.076;0.361;122;">10.0";0.00747;0.731;"MULTIDISCIPLINARY SCIENCES"
"NEUES JAHRBUCH FUR MINERALOGIE-MONATSHEFTE";"0028-3649";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NEW PHYTOLOGIST";"0028-646X";"NEW PHYTOL";33918;7.672;7.837;1.718;440;"7.2";0.07171;2.596;"PLANT SCIENCES"
"NEW ZEALAND JOURNAL OF MARINE AND FRESHWATER RESEARCH";"0028-8330";"NEW ZEAL J MAR FRESH";1632;0.8;1.042;0.512;43;">10.0";0.00126;0.331;"OCEANOGRAPHY"
"NEW ZEALAND JOURNAL OF MARINE AND FRESHWATER RESEARCH";"0028-8330";"NEW ZEAL J MAR FRESH";1632;0.8;1.042;0.512;43;">10.0";0.00126;0.331;"MARINE & FRESHWATER BIOLOGY"
"NEW ZEALAND JOURNAL OF MARINE AND FRESHWATER RESEARCH";"0028-8330";"NEW ZEAL J MAR FRESH";1632;0.8;1.042;0.512;43;">10.0";0.00126;0.331;"FISHERIES"
"NORSK GEOLOGISK TIDSSKRIFT";"0029-196X";"NORW J GEOL";831;2.225;2.267;2;12;">10.0";0.00094;0.66;"GEOSCIENCES, MULTIDISCIPLINARY"
"Nos Oiseaux";"0029-3725";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NOVA HEDWIGIA";"0029-5035";"NOVA HEDWIGIA";1815;1.195;1.038;0.385;104;">10.0";0.00195;0.272;"PLANT SCIENCES"
"OECOLOGIA";"0029-8549";"OECOLOGIA";30314;3.093;3.617;0.527;349;">10.0";0.03112;1.281;"ECOLOGY"
"Oesterreichische Akademie der Wissenschaften Mathematisch-Naturwissenschaftliche Klasse Sitzungsberichte Abteilung I";"0029-8808";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"OIKOS";"0030-1299";"OIKOS";19629;3.444;3.926;0.944;160;">10.0";0.02519;1.531;"ECOLOGY"
"ORNIS SCANDINAVICA";"0030-5693";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"PALAEONTOLOGY";"0031-0239";"PALAEONTOLOGY";3586;2.24;2.164;0.726;62;">10.0";0.00522;0.858;"PALEONTOLOGY"
"DIASPORAS GRECQUES DU VIIIE A LA FIN DU IIIE SIECLE AV J-C";"0031-0387";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"PHYCOLOGIA";"0031-8884";"PHYCOLOGIA";2762;1.915;2.262;0.339;62;">10.0";0.0025;0.606;"PLANT SCIENCES"
"PHYCOLOGIA";"0031-8884";"PHYCOLOGIA";2762;1.915;2.262;0.339;62;">10.0";0.0025;0.606;"MARINE & FRESHWATER BIOLOGY"
